বালাসরস্বতী	Balasaraswati
শেখ মোঃ নূরুল হক	Sheikh Md. Nurul Haque
শোভনা ভারতিয়া	Shobhana Bhartia
হানিফ সংকেত	Hanif Sanket
সাদিয়া দেহলভী	Sadia Dehlvi
সামছুল আলম দুদু	Shamsul Alam Dudu
সামশুল হক চৌধুরী	Shamsul Haque Chowdhury
সামিয়া আল আমৌদি	Samia al-Amoudi
সালমা মাসুদ চৌধুরী	Salma Masud Chowdhury
সি. লালরোসাঙ্গা	C. Lalrosanga
সিসি খামপেপে	Sisi Khampepe
সুজাতা মেহতা	Sujata Mehta
টিমোথি স্পাল	Timothy Spall
পিটার স্লিপ	Peter Sleep
ডেভিড হটন	David Houghton
হরনাথ চক্রবর্তী	Haranath Chakraborty
হামিদ কারজাই	Hamid Karzai
হামিদা ওমারোভা	Hamida Omarova
হাসিবুল ইসলাম মিজান	Hasibul Islam Mizan
হোসেন বানু গাজানফার	Husn Banu Ghazanfar
হ্যানসেন ক্লার্ক	Hansen Clarke
নাজির আহমেদ খান	Nazir Ahmed Khan
সুভদ্রা কুমারী চৌহান	Subhadra Kumari Chauhan
দেং জিয়াওপিং	Deng Xiaoping
ক্রিস্টোফার ইশারউড	Christopher Isherwood
অন্নদাশঙ্কর রায়	Annada Shankar Ray
এলিস আচং	Ellis Achong
আলেক্সেই কোসিগিন	Alexei Kosygin
টিম ওয়াল	Tim Wall
ওয়েন্ডেল মেরেডিথ স্ট্যানলি	Wendell Meredith Stanley
কাজী লেন্দুপ দর্জি	Kazi Lhendup Dorjee
কুন্দন লাল সায়গল	K. L. Saigal
কুভেম্পু	Kuvempu
জোন ক্রফোর্ড	Joan Crawford
জিম ক্রিস্টি	Jim Christy
গ্রির গারসন	Greer Garson
জন গিলগুড	John Gielgud
জ্যানেট গেনর	Janet Gaynor
গেরহার্ড হার্জবার্গ	Gerhard Herzberg
গ্রাহাম গ্রিন	Graham Greene
ক্যারি গ্র্যান্ট	Cary Grant
চৌধুরী গোলাম আব্বাস	Chaudhry Ghulam Abbas
জনি ওয়াইজমুলার	Johnny Weissmuller
জর্জ গ্যামফ	George Gamow
জহর গাঙ্গুলি	Jahar Ganguly
জাহাঙ্গীর রতনজী দাদাভাই টাটা	J. R. D. Tata
নাউমল জিউমল	Naoomal Jeoomal
কেন জেমস	Ken James
এডি ডসন	Eddie Dawson
নিকোলাই অস্ত্রভ্‌স্কি	Nikolai Ostrovsky
পাবলো নেরুদা	Pablo Neruda
পাভেল আলেক্সেইয়েভিচ চেরেংকভ	Pavel Cherenkov
হেনরি প্রমিৎজ	Henry Promnitz
প্রমোদরঞ্জন চৌধুরী	Promode Ranjan Chaudhury
প্রেমেন্দ্র মিত্র	Premendra Mitra
ফজল ইলাহী চৌধুরী	Fazal Ilahi Chaudhry
বিনোদ বিহারী মুখোপাধ্যায়	Benode Behari Mukherjee
কনস্ট্যান্স বেনেট	Constance Bennett
রাফ বেলামি	Ralph Bellamy
মনোরঞ্জন ধর	Manoranjan Dhar
রবার্ট মন্টগামারি	Robert Montgomery
মহানামব্রত ব্রহ্মচারী	Mahanambrata Brahmachari
মহাবীর সিং	Mahavir Singh
মালতী চৌধুরী	Malati Choudhury
মুহম্মদ মনসুর উদ্দিন	Muhammad Mansuruddin
কুইন্টিন ম্যাকমিলান	Quintin McMillan
যতীন্দ্র নাথ দাস	Jatindra Nath Das
রফিকুল বারী চৌধুরী	Rafiqul Bari Chowdhury
রবার্ট ওপেনহেইমার	J. Robert Oppenheimer
রুক্মিনী দেবী অরুন্দল	Rukmini Devi Arundale
মুহাম্মদ নজিব আর-রুবাই	Muhammad Najib ar-Ruba\i
ক্লিফোর্ড রোচ	Clifford Roach
হ্যারল্ড লারউড	Harold Larwood
লাল বাহাদুর শাস্ত্রী	Lal Bahadur Shastri
ফিলিপ লি	Philip Lee
লুই ওজেন ফেলিক্স নেএল	Louis Néel
লুইস কারেরো ব্ল্যাঙ্কো	Luis Carrero Blanco
শন ম্যাকব্রাইড	Seán MacBride
সালভাদোর দালি	Salvador Dalí
এডউইন সেন্ট হিল	Edwin St Hill
সৈয়দ মুজতবা আলী	Syed Mujtaba Ali
জর্জ স্টিভেন্স	George Stevens
রাইনহার্ট হাইড্‌রিখ	Reinhard Heydrich
হাতেম আলী খান	Hatem Ali Khan
দৌলত আহমেদজাই	Dawlat Ahmadzai
রাজু আহমেদ	Razu Ahmed
কালী আলাউদ্দীন	Kali Alaudeen
সালমান বাট	Salman Butt
সান্তি কাজোরলা	Santi Cazorla
কাব্য মাধবন	Kavya Madhavan
রিমা কলিঙ্গল	Rima Kallingal
করিম সাদিক	Karim Sadiq
মার্সিয়া লেটসোয়ালো	Marcia Letsoalo
স্টিফেন মাইবার্গ	Stephan Myburgh
নওরোজ মঙ্গল	Nawroz Mangal
এ্যারন ফাঙ্গিসো	Aaron Phangiso
রইস আহমেদজাই	Raees Ahmadzai
আয়শা রহমান	Ayasha Rahman
রাজকুমার রাও	Rajkummar Rao
বাস্তিয়ান শোয়েনস্টেইগার	Bastian Schweinsteiger
কাসিম শেখ	Qasim Sheikh
সোহেল তানভীর	Sohail Tanvir
রিতেশ থাপা	Ritesh Thapa
ফার্নান্দো তরেস	Fernando Torres
মুরলী বিজয়	Murali Vijay
রইনই যং	Rainie Yang
অনুষ্কা মানচন্দা	Anushka Manchanda
অনুষ্টুপ মজুমদার	Anustup Majumdar
অভয় শুক্লা	Abhay Shukla
অরুণিমা ঘোষ	Arunima Ghosh
অলিভিয়া ওয়াইল্ড	Olivia Wilde
সারাহ অ্যালে	Sarah Aley
আইমেন মাসলাউসি	Aymen Mathlouthi
রাগিব আগা	Ragheb Aga
আদনান ইলিয়াস	Adnan Ilyas
আদ্রিয়ানো করেইয়া	Adriano
আন্দ্রেস ইনিয়েস্তা	Andrés Iniesta
মোহামেদ আমুর	Mohamed Ameur
আয়ুষ্মান খুরানা	Ayushmann Khurrana
আয়েশা আকতার	Ayesha Akhter
আরতী আগারওয়াল	Aarthi Agarwal
আরশাদ আলী খান	Arshad Ali Khan
আরিয়েন রোবেন	Arjen Robben
আলিজে	Alizée
তারানেহ আলিদুস্তি	Taraneh Alidoosti
আলী মার্চেন্ট	Ali Merchant
জোহান্না আল্মগ্রেন	Johanna Almgren
আশিস শর্মা	Ashish Sharma
আসাফ আল-করনি	Assaf Al-Qarni
আসিফ মহিউদ্দীন	Asif Mohiuddin
আসিফ আজিম	Asif Azim
আহমেদ ফাতহি	Ahmed Fathy
ইউন হিয়ন সক	Yun Hyon-seok
ইবরার হোসাইন	Ibrar Hussain
ইভা মারি	Eva Marie
ইমাম হোসেন	Imam Hossain
ইয়ানি মার্কুয়েজ	Yane Marques
ইয়াসমিন সুলতানা বৈশাখী	Yasmin Boishakhi
ইয়াসির আল মোসাইলেম	Yasser Al-Mosailem
ইরফান পাঠান	Irfan Pathan
ইরা দুবে	Ira Dubey
ইশা শেরওয়ানি	Isha Sharvani
ইস্তভান কোভাচস	István Kovács
ঈশানী কৌশল্যা	Eshani Kaushalya
উদিতা গোস্বামী	Udita Goswami
উমর গুল	Umar Gul
উমা সরেন	Uma Saren
ঋদ্ধিমান সাহা	Wriddhiman Saha
এ. গণেশকুমার	A. Ganeshkumar
এজাজ আহমদ	Ezaz Ahmed
এডিটা আব্দিস্কি	Edita Abdieski
এবি ডি ভিলিয়ার্স	AB de Villiers
এমবার্ক বুসুফা	Mbark Boussoufa
এমেলিয়া ভেগা	Amelia Vega
এলিনা সুলতানা	Alina Sultana
অ্যানাবেল ওয়ালিস	Annabelle Wallis
ইয়োহানা ওয়েলিন	Johanna Welin
ওয়েসলি বারাসি	Wesley Barresi
ওলেকসাই হানচারুক	Oleksiy Honcharuk
কলাম ফার্গুসন	Callum Ferguson
কাজী নুসরাত জাহান ডায়না	Nusrat Jahan Diana
অলোক কাপালি	Alok Kapali
কারম্যান হার্ট	Carmen Hart
কার্লোস তেবেস	Carlos Tevez
কাল্কি কেকল্যাঁ	Kalki Koechlin
নাবিল কাসেল	Nabil Kassel
কির্ক এডওয়ার্ডস	Kirk Edwards
অ্যালাস্টেয়ার কুক	Alastair Cook
কুন্তল চন্দ্র	Kuntal Chandra
কৃষমার স্যান্তোকি	Krishmar Santokie
কৃষ্ণ চন্দ্রন	Krishna Chandran
কেভিন ওব্রায়েন	Kevin O\Brien
কেভিন ওয়েন্স	Kevin Owens
কাইল কোয়েতজার	Kyle Coetzer
কোসতাস মারতাকিস	Kostas Martakis
ক্যাটি পেরি	Katy Perry
ক্যারোলিনা কুর্কোভা	Karolína Kurková
ক্রিস আমিনি	Chris Amini
ক্রেগ উইলিয়ামস	Craig Williams
মাহিরা খান	Mahira Khan
গাজী সালাহউদ্দিন	Gazi Salahuddin
সারায় গার্সিয়া	Saray García
গীতাঞ্জলি শর্মা	Geetanjali Sharma
গ্যারেট হেডলান্ড	Garrett Hedlund
ইয়েল গ্রোবগলাস	Yael Grobglas
শ্রেয়া ঘোষাল	Shreya Ghoshal
জনাথন লারডোট	Jonathan Lardot
জনি আকোস্তা	Johnny Acosta
মারইয়াম জাকারিয়া	Maryam Zakaria
তাইসির আল-জাসিম	Taisir Al-Jassim
জিমি হংস্র	Jimmy Hansra
জীব	Jiiva
জুজানা স্তেভুলোভা	Zuzana Števulová
জেইমি অ্যালেক্সান্ডার	Jaimie Alexander
জেপি ডুমিনি	JP Duminy
জেমস এলসওর্থ	James Ellsworth
জেরোমি টেলর	Jerome Taylor
জেসি রাইডার	Jesse Ryder
জোডাই ফিল্ডস	Jodie Fields
স্কার্লেট জোহ্যানসন	Scarlett Johansson
নিয়া জ্যাক্স	Nia Jax
জ্যোতিকা জ্যোতি	Jyotika Jyoti
ঝু ঝু	Zhu Zhu
ট্রেভর নোয়া	Trevor Noah
ডিন ব্রাউনলি	Dean Brownlie
ডেইজী শাহ	Daisy Shah
ড্যারেন ফ্লেচার	Darren Fletcher
তনুশ্রী চক্রবর্তী	Tanusree Chakraborty
থিয়াগো সিলভা	Thiago Silva
ফ্রেডি দারুওয়ালা	Freddy Daruwala
দুর্গা শক্তি নাগপাল	Durga Shakti Nagpal
নম্রতা রায়	Namrrta Raai
নয়নতারা	Nayanthara
নাজমুস সাদাত	Najmus Sadat
নাটালি মার্টিনেজ	Natalie Martinez
নাতসুকি ওবামা	Natsuki Obama
নাদিয়া আলী	Nadia Ali
নাদিয়া হোসেন	Nadiya Hussain
নানি	Nani
নাবিল আবু-হার্ব	Nabil Abou-Harb
নায়লা ঊষা	Nyla Usha
নিতু চন্দ্র	Neetu Chandra
নিভিন পৌলি	Nivin Pauly
নেহা পেন্ডসে	Neha Pendse
নেহেমিয়া ওধিয়াম্বো	Nehemiah Odhiambo
পাখী তাইরিওয়ালা	Pakhi Tyrewala
পিটার সিডল	Peter Siddle
ফ্রিডা পিন্টো	Freida Pinto
টিম পেইন	Tim Paine
উইলিয়াম পোর্টারফিল্ড	William Porterfield
সমিত প্যাটেল	Samit Patel
প্রিয়ামণি	Priyamani
রোল্ফ ফন দার মারউই	Roelof van der Merwe
সিতোরা ফরমোনোভা	Sitora Farmonova
ফাফ দু প্লেসিস	Faf du Plessis
ফারভিজ মাহারুফ	Farveez Maharoof
মারিয়া ফাহি	Maria Fahey
ফ্লোরা সাইনি	Flora Saini
বয়েড র‌্যাঙ্কিন	Boyd Rankin
বরুণ সোবতি	Barun Sobti
বিউটি নাজমুন নাহার	Beauty Nazmun Nahar
বিনয় কুমার	Vinay Kumar
বিরকির মাউর সাইভারসন	Birkir Már Sævarsson
বুরাক অ্যাজিভিট	Burak Özçivit
রহিমা বেগম	Rahima Begum
বেরেন সাত	Beren Saat
ব্র্যানডন ষ্ট্যানটন	Brandon Stanton
মধু শর্মা	Madhu Sharma
মনোয়ার হোসেন	Monowar Hossain
মরনে মরকেল	Morné Morkel
মাইল জেডিনাক	Mile Jedinak
মাকোতো হাসেবে	Makoto Hasebe
মাতিউ ভালবুয়েনা	Mathieu Valbuena
মামজি স্ট্রেনজার	Mumzy Stranger
মারিও আনচিচ	Mario Ančić
মারিওন বারতোলি	Marion Bartoli
মারিয়া মতিন	Mariyah Moten
মার্ক জাকারবার্গ	Mark Zuckerberg
মাসুদ শোজেই	Masoud Shojaei
মিরান্ডা	Miranda
মিলোরাদ কেভিচ	Milorad Čavić
মীনা কান্দাসামি	Meena Kandasamy
মেরি এলিজাবেথ উইনস্টেড	Mary Elizabeth Winstead
মোহামেদ বুয়াজিজি	Mohamed Bouazizi
মোহাম্মদ আশরাফুল	Mohammad Ashraful
মোহাম্মদ ইরফান আলী	Mohammed Irfan
মোহাম্মেদ জিসান আইয়ুব	Mohammed Zeeshan Ayyub
মৌমা দাস	Mouma Das
ম্যালকম ওয়ালার	Malcolm Waller
সৌন্দর্য রজনীকান্ত	Soundarya Rajinikanth
রথীন কিস্কু	Rathin Kisku
রবি রামপাল	Ravi Rampaul
রবিনিয়ো	Robinho
রস টেলর	Ross Taylor
ব্রাহিম দিয়াজ	Brahim Díaz
জীসনা ম্যাথোও	Jisna Mathew
কাজী অনিক	Qazi Onik
অলিভার হাল্ড	Oliver Hald
আবতাহা মকসুদ	Abtaha Maqsood
আরিফুর রহমান	Arifur Rahman
ইয়াসমিন খান	Yasmeen Khan
জো উইলওক	Joe Willock
এলাভেনিল ভালারিভান	Elavenil Valarivan
কমলেশ নাগরকোটি	Kamlesh Nagarkoti
সাবরিনা কার্পেন্টার	Sabrina Carpenter
কার্লি স্কট কলিন্স	Karley Scott Collins
জোয়ী কিং	Joey King
কিয়েরনান শিপকা	Kiernan Shipka
জাস্টিন ক্লুইভার্ট	Justin Kluivert
ম্যাটিও গুয়েনডোজি	Matteo Guendouzi
মিকায়েল চুইসেন্স	Mickaël Cuisance
জান্নাতুল ফেরদৌস	Jannatul Ferdus
জেসিয়া ইসলাম	Jessia Islam
ড্যান-এক্সেল জোগান্ডু	Dan-Axel Zagadou
জোয়াও ফেলিক্স	João Félix
মেসাকুয়ে ডিজু	Mésaque Djú
জিয়ানলুয়িজি ডোন্নারুম্মা	Gianluigi Donnarumma
তানজিদ হাসান	Tanzid Hasan
জঁ-ক্লেয়ার তোদিবো	Jean-Clair Todibo
মাথেইস দ্য লিখ্‌ট	Matthijs de Ligt
কেইটলিন নাকন	Katelyn Nacon
মধুশ্রী নারায়ণ	Madhushree Narayan
পিনাক ঘোষ	Pinak Ghosh
রিকুই পুইগ	Riqui Puig
প্রান্তিক নওরোজ নাবিল	Prantik Nawrose Nabil
ক্যামেরন বয়েস	Cameron Boyce
লিয়োনার্দো বালের্দী	Leonardo Balerdi
ওরিয়ল বাস্কোয়েটস	Oriol Busquets
বিপলু আহমেদ	Biplu Ahmed
মানিক হোসেন মোল্লা	Manik Hossain Molla
মাবিয়া আক্তার	Mabia Akhter
মারিয়ানা গার্সিয়া	Mariana García
মাহবুবুর রহমান সুফিল	Mahbubur Rahman Sufil
মাহিদুল ইসলাম অঙ্কন	Mahidul Islam Ankon
মিনহাজুল আবেদীন আফ্রিদি	Minhajul Abedin Afridi
মোহাম্মদ রহমত মিয়া	Rahmat Mia
মুর্শিদা খাতুন	Murshida Khatun
মোহাম্মদ নাইম	Mohammad Naim
মোহাম্মদ সজিব	Mohammad Sozib
রবিউল হক	Robiul Haque
রাফি রেজা	Raafi Reza
চান্ডলার রিগস	Chandler Riggs
রিয়াদুল হাসান রাফি	Riyadul Hasan Rafi
রুবিনা আলী	Rubina Ali
রেজাউর রহমান রাজা	Rejaur Rahman Raja
লরা উলভার্ট	Laura Wolvaardt
ম্যাডিসন লিন্টজ	Madison Lintz
নাটালি এলিন লিন্ড	Natalie Alyn Lind
লিয়া পল	Leah Paul
আন্দ্রি লুনিন	Andriy Lunin
লুসি ও’রিলি	Lucy O\Reilly
শওকত হোসেন	Shakhawat Hossain
সাক্সোন শারবিনো	Saxon Sharbino
সজিব হোসেন	Sojib Hossain
সাদিম রহমান	Sadmim Rahman
সুরাইয়া আজমিন	Suraiya Azmin
সোফি একলস্টোন	Sophie Ecclestone
স্টেরে ক্যালিস	Sterre Kalis
হার্ভি	Hrvy
হাসান মাহমুদ	Hasan Mahmud
রবিউল হাসান	Robiul Hasan
আইজ্যাক হেমস্টিড রাইট	Isaac Hempstead Wright
আফিফ হোসেন	Afif Hossain
আহমেদ আহমেদ	Ahmed Ahmed
তাবাচ্ছুম বেগম	Tabassum Begum
সুরায়া দালিল	Suraya Dalil
গৌরী যোগ	Gauri Jog
ফারাজ খান	Faraaz Khan
সাদিক খান	Sadiq Khan
হাসিনা মমতাজ	Hasina Momtaz
গ্যাব্রিয়েলা সাবাতিনি	Gabriela Sabatini
অনিল কুম্বলে	Anil Kumble
অনু হাসান	Anu Hasan
অপর্ণা জৈন	Aparna Jain
অরবিন্দ স্বামী	Arvind Swami
অশ্বিনী কালসেকর	Ashwini Kalsekar
পল টমাস অ্যান্ডারসন	Paul Thomas Anderson
অ্যান্থনি স্টুয়ার্ট	Anthony Stuart
আকবরউদ্দিন ওয়াইসি	Akbaruddin Owaisi
নাসিমা আক্তার	Nasima Akhter
আজমল মাসরুর	Ajmal Masroor
মারভান আতাপাত্তু	Marvan Atapattu
আব্দুর রহমান বদি	Abdur Rahman Bodi
আর. মাধবন	R. Madhavan
আসজাদ রেজা খান	Asjad Raza Khan
মুশতাক আহমেদ	Mushtaq Ahmed
ইথান হক	Ethan Hawke
ইনজামাম-উল-হক	Inzamam-ul-Haq
উর্বশী	Urvashi
একরেম ইমামোগলু	Ekrem İmamoğlu
এমানুয়েল পতি	Emmanuel Petit
পল ওয়াইজম্যান	Paul Wiseman
কাজী আনিস আহমেদ	Kazi Anis Ahmed
ক্যামেরন কাফি	Cameron Cuffy
কাবেরী গায়েন	Kaberi Gayen
জিনাত কারজাই	Zeenat Karzai
কালিকাপ্রসাদ ভট্টাচার্য	Kalika Prasad Bhattacharya
কীশোন খান	Kishon Khan
কুনাল কোহলি	Kunal Kohli
কৃষ্ণকুমার কুন্নথ	KK
ক্রিস কেয়ার্নস	Chris Cairns
কোর্টনি ব্রাউন	Courtney Browne
নেওমি ক্যাম্পবেল	Naomi Campbell
রবার্ট ক্রফট	Robert Croft
ক্রিস অ্যাডামস	Chris Adams
ক্রিস জেরিকো	Chris Jericho
ক্রিস্টোফার নোলান	Christopher Nolan
ক্রিস্তিয়ান কারেম্ব্যু	Christian Karembeu
ক্লডিয়া শিফার	Claudia Schiffer
খালিদ এরগেঞ্চ	Halit Ergenç
খালিদ মাহমুদ চৌধুরী	Khalid Mahmud Chowdhury
গৌরী খান	Gauri Khan
গ্যারি মার্কাস	Gary Marcus
শুইলার গ্র্যান্ট	Schuyler Grant
শাশ্বত চট্টোপাধ্যায়	Saswata Chatterjee
চেত্তিথোদি শামসুদ্দিন	Chettithody Shamshuddin
অন্তরা চৌধুরী	Antara Chowdhury
ছানোয়ার হোসেন	Md. Sanowar Hossain
জাস্টিন ল্যাঙ্গার	Justin Langer
জিম কুরিয়ার	Jim Courier
জিমি শেরগিল	Jimmy Sheirgill
জিয়ানলুকা পেসোত্তো	Gianluca Pessotto
জিয়ান্নি ইনফান্তিনো	Gianni Infantino
জুমানা হাদ্দাদ	Joumana Haddad
ব্রেন্ডন জুলিয়ান	Brendon Julian
জুলিয়েতা ভেনেগাস	Julieta Venegas
জুলিয়েন ফাউন্টেন	Julien Fountain
জেনিফার কনেলি	Jennifer Connelly
জোসেফ ফাইঞ্জ	Joseph Fiennes
স্টিভেন জ্যাক	Steven Jack
জ্যানেট প্যানিক	Janet Panic
টনি হেইল	Tony Hale
বার্নি ডেক্সটার	Bernie Dexter
ড্যারেন গফ	Darren Gough
মিনি ড্রাইভার	Minnie Driver
তানজিম আহমেদ সোহেল তাজ	Tanjim Ahmad Sohel Taj
নাজিব তারেক	Najib Tareque
তাসমিনা আহমেদ-শেখ	Tasmina Ahmed-Sheikh
তৈয়ব শামসুজ্জামান	Tayeb Shamsuzzaman
উমা থারম্যান	Uma Thurman
দিয়েগো সিমেওনে	Diego Simeone
দীপা মালিক	Deepa Malik
দোলন রায়	Dolon Roy
নজরুল হক	Najrul Hoque
জসপিন্দর নরুলা	Jaspinder Narula
পল নিক্সন	Paul Nixon
নিল জনসন	Neil Johnson
পদ্মিনী চেট্টুর	Padmini Chettur
স্টিভ পলফ্রাম্যান	Steve Palframan
লেইলা পাহলভি	Leila Pahlavi
পুবুদু দাসানায়াকে	Pubudu Dassanayake
পুরু রাজ কুমার	Puru Raaj Kumar
পূজা বেদী	Pooja Bedi
ফজিলা কায়সার	Fazila Kaiser
ফজিলাতুন্নেসা বাপ্পী	Fazilatunnesa Bappy
রিভার ফিনিক্স	River Phoenix
ফিলো ওয়ালেস	Philo Wallace
গ্রান্ট ফ্লাওয়ার	Grant Flower
ড্যামিয়েন ফ্লেমিং	Damien Fleming
বদরুন্নেসা ডালিয়া	Badrunnesa Dalia
বাপ্পাদিত্য বন্দ্যোপাধ্যায়	Bappaditya Bandopadhyay
অ্যান্ডি বিকেল	Andy Bichel
বিদ্যুৎ কুমার রায়	Bidyut Kumar Roy
বুলা চৌধুরী	Bula Choudhury
মার্ক বেইলি	Mark Bailey
মাইকেল বেভান	Michael Bevan
বেলিন্ডা ক্লার্ক	Belinda Clark
আলী ব্রাউন	Ali Brown
হেন্ডারসন ব্রায়ান	Henderson Bryan
র‍্যাচেল ভাইস	Rachel Weisz
ভেরা জেম্মা	Vera Gemma
মনিরুল ইসলাম	Monirul Islam
মনীষা কৈরালা	Manisha Koirala
মার্টিন মাকডনা	Martin McDonagh
মারিসেলা মোরালেস ইবানেজ	Marisela Morales
মাহফুজুর রহমান	Mahfuzur Rahaman
মাহি বি চৌধুরী	Mahi B. Chowdhury
মেগান কেলি	Megyn Kelly
মেলানিয়া ট্রাম্প	Melania Trump
মোহাম্মদ মুখেসুর রহমান	Mohamed Mukhesur Rahman
মোহাম্মদ রফিক	Mohammad Rafique
গ্লেন ম্যাকগ্রা	Glenn McGrath
মেলিসা ম্যাকার্থি	Melissa McCarthy
ম্যাক্সিম তারাসভ	Maksim Tarasov
ম্যাট ডেমন	Matt Damon
রফিকুল ইসলাম	Rafiqul Islam
রাকেশ সিং	Rakesh Singh
রাজ্যবর্ধন সিং রাঠোর	Rajyavardhan Singh Rathore
রাসেল পিটার্স	Russell Peters
রাহুল গান্ধী	Rahul Gandhi
রিমা আশাফ	Rima Assaf
রুথ ইংল্যান্ড	Ruth England
রুনা ইসলাম	Runa Islam
রুয়ান কালপেগে	Ruwan Kalpage
মিশেল রেইস	Michelle Reis
রেজিন ভেলাস্কেজ	Regine Velasquez
জন রেনি	John Rennie
রোব ভ্যান ড্যাম	Rob Van Dam
রোবি স্কট	Robia LaMorte
লিটু আনাম	Litu Anam
লুইস এনরিকে	Luis Enrique
লুসি হকিং	Lucy Hawking
ড্যারেন লেহম্যান	Darren Lehmann
শাকিল আহমেদ	Shakeel Ahmed
শামিয়া মমতাজ	Samiya Mumtaz
শাহরিয়ার আলম	Shahriar Alam
শুভেন্দু অধিকারী	Suvendu Adhikari
শেন ম্যাকম্যান	Shane McMahon
শেরউইন ক্যাম্পবেল	Sherwin Campbell
শোকো আইডা	Shoko Aida
শোভনা	Shobana
এম নাইট শ্যামালান	M. Night Shyamalan
অনুরাধা শ্রীরাম	Anuradha Sriram
ইয়ান সলসবারি	Ian Salisbury
সাঈদ খোকন	Sayeed Khokon
সাগরিকা মুখার্জী	Sagarika
সাদ হারিরি	Saad Hariri
এডউইন ফন দের সার	Edwin van der Sar
সারাণ্য পোণভান্নান	Saranya Ponvannan
সিদ্ধার্থ মুখার্জী	Siddhartha Mukherjee
সুনীল জোশী	Sunil Joshi
সুনেত্রা	Sunetra
বাবুল সুপ্রিয়	Babul Supriyo
সুলজ্জা ফিরোদিয়া মোটওয়ানী	Sulajja Firodia Motwani
সেলিনা জাহান লিটা	Selina Jahan Lita
সেলিম আহমেদ	Salim Ahamed
সোহেল খান	Sohail Khan
পল স্ট্র্যাং	Paul Strang
স্বাতি অবস্থি	Swati Avasthi
মাইকেল স্ল্যাটার	Michael Slater
ম্যাট হর্ন	Matt Horne
টারাজি পি. হেনসন	Taraji P. Henson
ডিন হ্যাডলি	Dean Headley
জুলিও নাত্তা	Giulio Natta
অচিন্ত্যকুমার সেনগুপ্ত	Achintya Kumar Sengupta
অতুলচন্দ্র হাজারিকা	Atul Chandra Hazarika
অনন্ত সিং	Ananta Singh
অফসেট প্রেস	Offset printing
অ্যালেক ডগলাস-হোম	Alec Douglas-Home
আডল্‌ফ ফ্রিড্‌রিশ ইয়োহান বুটেনান্ড্‌ট	Adolf Butenandt
আবদুল হক ফরিদী	Abdul Haque Faridi
আবুল ফজল	Abul Fazal
আরপদ এলো	Arpad Elo
আর্নেস্ট ওয়াল্টন	Ernest Walton
আলভিন রবার্ট কর্নেলিয়াস	Alvin Robert Cornelius
ওয়াজির আলী	Wazir Ali
আলোন্‌জো চার্চ	Alonzo Church
বে-নজীর আহমদ	Benajir Ahmed
ইয়াসুজিরো ওজু	Yasujirō Ozu
জন উইন্ডম	John Wyndham
জসীম উদ্‌দীন	Jasimuddin
এস এম শ্রীনাগেশ	S. M. Shrinagesh
কর্নেল উলরিচ	Cornell Woolrich
কুমার স্বামী কামরাজ নাদার	K. Kamaraj
বিং ক্রাজবি	Bing Crosby
ক্লডেট কোলবার্ট	Claudette Colbert
ছেন কেং	Chen Geng
জন ডিলিঞ্জার	John Dillinger
জন ভন নিউম্যান	John von Neumann
জন ভিনসেন্ট আটানসফ	John Vincent Atanasoff
জর্জ অরওয়েল	George Orwell
জর্জ ওয়েলস বিডেল	George Beadle
জ্যোতিপ্রসাদ আগরওয়ালা	Jyoti Prasad Agarwala
লেসলি টাউনসেন্ড	Leslie Townsend
জ্যাক ডানিং	Jack Dunning
জর্জ ডিকিনসন	George Dickinson
স্টুই ডেম্পস্টার	Stewie Dempster
পাড থার্লো	Pud Thurlow
দশরথ চাঁদ	Dashrath Chand
নরম্যান প্রিস্টন	Norman Preston
নিরঞ্জন সেনগুপ্ত	Niranjan Sengupta
নীহাররঞ্জন রায়	Niharranjan Ray
প্রমথেশ চন্দ্র বরুয়া	Pramathesh Barua
এডওয়ার্ড ফন দার মারউই	Edward van der Merwe
বিজয় সরকার	Bijoy Sarkar
বিমল মুখোপাধ্যায়	Bimal Mukherjee
বিষ্ণুচরণ ঘোষ	Bishnu Charan Ghosh
বিষ্ণুপদ মুখোপাধ্যায়	Bishnupada Mukhopadhyaya
বেগম বদরুন্নেসা আহমদ	Begum Badrunnessa Ahmed
ভিনসেন্ট মিনেলি	Vincente Minnelli
মমতাজউদ্দিন আহমেদ	Momtazuddin Ahmed
মিলার্ড মিচেল	Millard Mitchell
মুহাম্মদ ইশফাকুল মজিদ	Mohammad Ishfaqul Mazid
মোতাহের হোসেন চৌধুরী	Motaher Hussain Chowdhury
রাইচাঁদ বড়াল	Raichand Boral
মারিয়া রাইশে	Maria Reiche
রে লিসনার	Ray Lissner
জিওফ্রে লেগ	Geoffrey Legge
শিবরাম চক্রবর্তী	Shibram Chakraborty
জ্যাক সিডল	Jack Siedle
জিম সিমস	Jim Sims
জর্জ সিম্‌নোন	Georges Simenon
সেসিল ফ্র্যাংক পাওয়েল	C. F. Powell
হয়ল্যাণ্ড ইয়ং	Hoylande Young
হাবিব বোরগুইবা	Habib Bourguiba
বব হোপ	Bob Hope
ওয়ালি হ্যামন্ড	Wally Hammond
হ্যাল্ডান কে হার্টলাইন	Haldan Keffer Hartline
সাদিক আলী	Sadiq Ali
রবার্ট বায়ের	Robert Baer
মাজহার খান	Mazhar Khan
অংশুমান গায়কোয়াড়	Anshuman Gaekwad
অজয় চক্রবর্তী	Ajoy Chakrabarty
